ProductKey	Categoria	SpanishProductName	Costo	Precio	ww
212	1	Huevos Peruana	12,0278	33,6442	212
213	1	Camarones	13,8782	33,6442	213
214	1	Machas	13,0863	34,99	214
215	1	Palta Reina	12,0278	33,6442	215
216	1	Palta Victoria	13,8782	33,6442	216
217	1	Salpicon de Ave, Jamon, Palta	13,0863	34,99	217
218	1	Jamon con Palmitos	3,3963	9,50	218
219	1	Chuletas Ahumadas	3,3963	9,50	219
220	1	Pernil Ahumado	12,0278	33,6442	220
221	1	Lomito de Cerdo	13,8782	33,6442	221
222	1	Lengua Fria	13,0863	34,99	222
223	1	Atun	5,7052	8,6442	223
224	1	Consome	5,2297	8,6442	224
225	1	Consome Huevo	6,9223	8,99	225
226	1	Consome Reina	31,7244	48,0673	226
227	1	Ensalada Cesar	29,0807	48,0673	227
228	1	Ensalada Camarones	38,4923	49,99	228
229	1	Ensalada Vegetariana	31,7244	48,0673	229
230	2	Filete a la Plancha	29,0807	48,0673	230
231	2	Fierritos	38,4923	49,99	231
232	2	Lomo a la Plancha	31,7244	48,0673	232
233	2	Escalopa Milanesa	29,0807	48,0673	233
234	2	Escalopa Rellena	38,4923	49,99	234
235	2	Carne Mechada	31,7244	48,0673	235
236	2	Crudo al Plato	29,0807	48,0673	236
237	2	Lomito Cerdo Grille	38,4923	49,99	237
238	2	Pernil de Cerdo	747,9682	1263,4598	238
239	2	1/4 Pollo Grille	722,2568	1301,3636	239
240	2	1/2 Pollo Grille	868,6342	1431,50	240
241	2	1/4 Pollo deshuesado	747,9682	1263,4598	241
242	2	1/2 Pollo deshuesado	722,2568	1301,3636	242
243	2	1/4 Pechuga Deshuesada	868,6342	1431,50	243
244	2	Chuleta Krassler	747,9682	1263,4598	244
245	3	Albacora	722,2568	1301,3636	245
246	3	Reineta a la Plancha	868,6342	1431,50	246
247	3	Congrio frito o a la Plancha	747,9682	1263,4598	247
248	3	Machas a la Parmensana	722,2568	1301,3636	248
249	3	Camarones al Pil Pil	868,6342	1431,50	249
250	6	Lomito	747,9682	1263,4598	250
251	6	Churrasco	722,2568	1301,3636	251
252	6	Hamburguesa	868,6342	1431,50	252
253	6	Vienesa	176,1997	297,6346	253
254	6	Gorda	170,1428	306,5636	254
255	6	Mechada	204,6251	337,22	255
256	6	Pernil	176,1997	297,6346	256
257	6	Ave	170,1428	306,5636	257
258	6	Barros Lucos	204,6251	337,22	258
259	6	Barros Jarpa	176,1997	297,6346	259
260	6	Chacarero	170,1428	306,5636	260
261	6	Chemilico	204,6251	337,22	261
262	6	Vegetariano	181,4857	306,5636	262
263	5	Arroz	187,1571	337,22	263
264	5	Papas Cocidas	181,4857	306,5636	264
265	5	Papas Fritas	187,1571	337,22	265
266	5	Papas Duquesas	181,4857	306,5636	266
267	5	Salsa Alcaparra	187,1571	337,22	267
268	5	Salsa Camarones	181,4857	306,5636	268
269	5	Salsa Margarita	187,1571	337,22	269
270	7	Lechuga	181,4857	306,5636	270
271	7	Betarraga	187,1571	337,22	271
272	7	Porotos Verdes	181,4857	306,5636	272
273	7	Tomate	187,1571	337,22	273
274	7	Apio	352,1394	594,83	274
275	7	Palmitos	352,1394	594,83	275
276	7	Palta	352,1394	594,83	276
277	7	Papas Mayo	352,1394	594,83	277
278	8	Mayonesa	352,1394	594,83	278
279	8	Chucrut	176,1997	297,6346	279
280	8	Salsa Americana	170,1428	306,5636	280
281	8	Porotos Verdes	204,6251	337,22	281
282	8	Tomate	176,1997	297,6346	282
283	8	Aji Verde	170,1428	306,5636	283
284	8	Pimenton	204,6251	337,22	284
285	5	Café Helado	176,1997	297,6346	285
286	5	Porción de Torta	170,1428	306,5636	286
287	5	Frutas en Conserva	204,6251	337,22	287
310	5	Pie de Limon	2171,2942	3578,27	310
311	5	Kuchen	2171,2942	3578,27	311
312	5	Copa de Helado	2171,2942	3578,27	312
313	5	Porcion de Crema	2171,2942	3578,27	313
314	5	Fruta de la Estación	2171,2942	3578,27	314
315	5	Marron Glace	884,7083	1457,99	315
316	4	Vitamina de Naranja	884,7083	1457,99	316
317	4	Jugo de Papaya, Frambuesa	884,7083	1457,99	317
318	4	Vaso de Leche	884,7083	1457,99	318
319	4	Agua Mineral	884,7083	1457,99	319
320	4	Bebida Lata	413,1463	699,0982	320
321	4	Bebida Botella	486,7066	782,99	321
322	4	Café Express	413,1463	699,0982	322
323	4	Capucchino	486,7066	782,99	323
324	4	Chocolate con Leche	413,1463	699,0982	324
325	4	Vino	486,7066	782,99	325
326	4	Copa de Vino	413,1463	699,0982	326
327	4	Pisco	486,7066	782,99	327
328	4	Cerveza	413,1463	699,0982	328
329	4	Schop	486,7066	782,99	329
330	4	Arreglado	413,1463	699,0982	330
331	4	Champagne	486,7066	782,99	331
